127.0.0.1 - - [25/Feb/2022:18:47:13 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [25/Feb/2022:18:47:14 +0530] "GET /VTJDM01_2019/ HTTP/1.1" 200 3634
0:0:0:0:0:0:0:1 - - [25/Feb/2022:18:47:14 +0530] "GET /VTJDM01_2019/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 153182
0:0:0:0:0:0:0:1 - - [25/Feb/2022:18:47:14 +0530] "GET /VTJDM01_2019/vendor/fontawesome-free/css/all.min.css HTTP/1.1" 200 53777
0:0:0:0:0:0:0:1 - - [25/Feb/2022:18:47:14 +0530] "GET /VTJDM01_2019/css/freelancer.min.css HTTP/1.1" 200 5681
0:0:0:0:0:0:0:1 - - [25/Feb/2022:18:47:14 +0530] "GET /VTJDM01_2019/vendor/magnific-popup/magnific-popup.css HTTP/1.1" 200 6951
0:0:0:0:0:0:0:1 - - [25/Feb/2022:18:47:14 +0530] "GET /VTJDM01_2019/vendor/jquery-easing/jquery.easing.min.js HTTP/1.1" 200 2532
0:0:0:0:0:0:0:1 - - [25/Feb/2022:18:47:14 +0530] "GET /VTJDM01_2019/vendor/magnific-popup/jquery.magnific-popup.min.js HTTP/1.1" 200 20216
0:0:0:0:0:0:0:1 - - [25/Feb/2022:18:47:14 +0530] "GET /VTJDM01_2019/vendor/jquery/jquery.min.js HTTP/1.1" 200 86927
0:0:0:0:0:0:0:1 - - [25/Feb/2022:18:47:14 +0530] "GET /VTJDM01_2019/js/jqBootstrapValidation.js HTTP/1.1" 200 36180
0:0:0:0:0:0:0:1 - - [25/Feb/2022:18:47:14 +0530] "GET /VTJDM01_2019/vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 200 76308
0:0:0:0:0:0:0:1 - - [25/Feb/2022:18:47:14 +0530] "GET /VTJDM01_2019/js/contact_me.js HTTP/1.1" 200 2807
0:0:0:0:0:0:0:1 - - [25/Feb/2022:18:47:14 +0530] "GET /VTJDM01_2019/js/freelancer.min.js HTTP/1.1" 200 1629
0:0:0:0:0:0:0:1 - - [25/Feb/2022:18:47:14 +0530] "GET /VTJDM01_2019/img/res2.jpg HTTP/1.1" 200 9612
0:0:0:0:0:0:0:1 - - [25/Feb/2022:18:47:15 +0530] "GET /VTJDM01_2019/vendor/fontawesome-free/webfonts/fa-solid-900.woff2 HTTP/1.1" 200 79212
0:0:0:0:0:0:0:1 - - [25/Feb/2022:18:47:15 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [25/Feb/2022:18:47:41 +0530] "GET /VTJDM01_2019/JS_login.jsp HTTP/1.1" 200 3320
0:0:0:0:0:0:0:1 - - [25/Feb/2022:18:47:41 +0530] "GET /VTJDM01_2019/js/sb-admin-2.min.js HTTP/1.1" 200 1106
0:0:0:0:0:0:0:1 - - [25/Feb/2022:18:47:41 +0530] "GET /VTJDM01_2019/css/sb-admin-2.min.css HTTP/1.1" 200 193192
0:0:0:0:0:0:0:1 - - [25/Feb/2022:18:47:41 +0530] "GET /VTJDM01_2019/img/log.jpg HTTP/1.1" 200 5372
0:0:0:0:0:0:0:1 - - [25/Feb/2022:18:47:41 +0530] "GET /VTJDM01_2019/img/back1.jpg HTTP/1.1" 200 2094084
0:0:0:0:0:0:0:1 - - [25/Feb/2022:18:49:47 +0530] "GET /VTJDM01_2019/WEB-INF/classes/database/connection.java HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [25/Feb/2022:18:49:57 +0530] "POST /VTJDM01_2019/JS_logindb.jsp HTTP/1.1" 200 408
0:0:0:0:0:0:0:1 - - [25/Feb/2022:18:49:59 +0530] "GET /VTJDM01_2019/JS_login.jsp HTTP/1.1" 200 3320
0:0:0:0:0:0:0:1 - - [25/Feb/2022:18:50:09 +0530] "POST /VTJDM01_2019/JS_logindb.jsp HTTP/1.1" 200 408
0:0:0:0:0:0:0:1 - - [25/Feb/2022:18:50:11 +0530] "GET /VTJDM01_2019/JS_login.jsp HTTP/1.1" 200 3320
0:0:0:0:0:0:0:1 - - [25/Feb/2022:18:50:30 +0530] "GET /VTJDM01_2019/JS_login.jsp HTTP/1.1" 200 3320
0:0:0:0:0:0:0:1 - - [25/Feb/2022:18:50:32 +0530] "GET /VTJDM01_2019/JS_reg.jsp HTTP/1.1" 200 3758
0:0:0:0:0:0:0:1 - - [25/Feb/2022:18:50:32 +0530] "GET /VTJDM01_2019/img/05-small.jpg HTTP/1.1" 200 23450
0:0:0:0:0:0:0:1 - - [25/Feb/2022:18:51:13 +0530] "POST /VTJDM01_2019/JS_regdb.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Feb/2022:18:51:13 +0530] "GET /VTJDM01_2019/JS_login.jsp HTTP/1.1" 200 3320
0:0:0:0:0:0:0:1 - - [25/Feb/2022:18:51:27 +0530] "POST /VTJDM01_2019/JS_logindb.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Feb/2022:18:51:27 +0530] "GET /VTJDM01_2019/JS_home.jsp HTTP/1.1" 200 3889
0:0:0:0:0:0:0:1 - - [25/Feb/2022:18:51:27 +0530] "GET /VTJDM01_2019/img/eee.jpg HTTP/1.1" 200 96828
0:0:0:0:0:0:0:1 - - [25/Feb/2022:18:51:30 +0530] "GET /VTJDM01_2019/Noti_from_hr.jsp HTTP/1.1" 200 3445
0:0:0:0:0:0:0:1 - - [25/Feb/2022:18:51:31 +0530] "GET /VTJDM01_2019/vendor/datatables/dataTables.bootstrap4.min.css HTTP/1.1" 200 5222
0:0:0:0:0:0:0:1 - - [25/Feb/2022:18:51:31 +0530] "GET /VTJDM01_2019/css/main.css HTTP/1.1" 200 29539
0:0:0:0:0:0:0:1 - - [25/Feb/2022:18:51:43 +0530] "GET /VTJDM01_2019/trail.jsp?username=Charan&&company_name=vertilinktechnologies HTTP/1.1" 200 7829
0:0:0:0:0:0:0:1 - - [25/Feb/2022:18:51:58 +0530] "GET /VTJDM01_2019/HR_response.jsp HTTP/1.1" 200 4005
0:0:0:0:0:0:0:1 - - [25/Feb/2022:18:51:58 +0530] "GET /VTJDM01_2019/js/browser.min.js HTTP/1.1" 200 3396
0:0:0:0:0:0:0:1 - - [25/Feb/2022:18:51:58 +0530] "GET /VTJDM01_2019/js/breakpoints.min.js HTTP/1.1" 200 7261
0:0:0:0:0:0:0:1 - - [25/Feb/2022:18:51:58 +0530] "GET /VTJDM01_2019/js/jquery.min.js HTTP/1.1" 200 86659
0:0:0:0:0:0:0:1 - - [25/Feb/2022:18:51:58 +0530] "GET /VTJDM01_2019/js/main.js HTTP/1.1" 200 1082
0:0:0:0:0:0:0:1 - - [25/Feb/2022:18:51:58 +0530] "GET /VTJDM01_2019/js/util.js HTTP/1.1" 200 12433
0:0:0:0:0:0:0:1 - - [25/Feb/2022:18:52:03 +0530] "GET /VTJDM01_2019/Index.html HTTP/1.1" 200 3634
0:0:0:0:0:0:0:1 - - [25/Feb/2022:18:52:06 +0530] "GET /VTJDM01_2019/Robot_login.jsp HTTP/1.1" 200 3143
0:0:0:0:0:0:0:1 - - [25/Feb/2022:18:52:07 +0530] "GET /VTJDM01_2019/img/robo1.jpg HTTP/1.1" 200 4084
0:0:0:0:0:0:0:1 - - [25/Feb/2022:18:52:17 +0530] "POST /VTJDM01_2019/Robologin_db.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Feb/2022:18:52:17 +0530] "GET /VTJDM01_2019/Robot_login.jsp HTTP/1.1" 200 3143
0:0:0:0:0:0:0:1 - - [25/Feb/2022:18:52:21 +0530] "POST /VTJDM01_2019/Robologin_db.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Feb/2022:18:52:21 +0530] "GET /VTJDM01_2019/Robot_login.jsp HTTP/1.1" 200 3143
0:0:0:0:0:0:0:1 - - [25/Feb/2022:18:52:22 +0530] "POST /VTJDM01_2019/Robologin_db.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Feb/2022:18:52:22 +0530] "GET /VTJDM01_2019/Robot_login.jsp HTTP/1.1" 200 3143
0:0:0:0:0:0:0:1 - - [25/Feb/2022:18:52:35 +0530] "POST /VTJDM01_2019/Robologin_db.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Feb/2022:18:52:35 +0530] "GET /VTJDM01_2019/Robot_login.jsp HTTP/1.1" 200 3143
0:0:0:0:0:0:0:1 - - [25/Feb/2022:18:52:36 +0530] "POST /VTJDM01_2019/Robologin_db.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Feb/2022:18:52:36 +0530] "GET /VTJDM01_2019/Robot_login.jsp HTTP/1.1" 200 3143
0:0:0:0:0:0:0:1 - - [25/Feb/2022:18:52:37 +0530] "POST /VTJDM01_2019/Robologin_db.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Feb/2022:18:52:37 +0530] "GET /VTJDM01_2019/Robot_login.jsp HTTP/1.1" 200 3143
0:0:0:0:0:0:0:1 - - [25/Feb/2022:18:52:53 +0530] "POST /VTJDM01_2019/Robologin_db.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Feb/2022:18:52:53 +0530] "GET /VTJDM01_2019/Robot_login.jsp HTTP/1.1" 200 3143
0:0:0:0:0:0:0:1 - - [25/Feb/2022:18:53:19 +0530] "POST /VTJDM01_2019/Robologin_db.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Feb/2022:18:53:19 +0530] "GET /VTJDM01_2019/Robot_login.jsp HTTP/1.1" 200 3143
0:0:0:0:0:0:0:1 - - [25/Feb/2022:18:53:31 +0530] "POST /VTJDM01_2019/Robologin_db.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Feb/2022:18:53:31 +0530] "GET /VTJDM01_2019/Robot_login.jsp HTTP/1.1" 200 3143
0:0:0:0:0:0:0:1 - - [25/Feb/2022:18:53:33 +0530] "POST /VTJDM01_2019/Robologin_db.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Feb/2022:18:53:33 +0530] "GET /VTJDM01_2019/Robot_login.jsp HTTP/1.1" 200 3143
0:0:0:0:0:0:0:1 - - [25/Feb/2022:18:53:35 +0530] "POST /VTJDM01_2019/Robologin_db.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Feb/2022:18:53:35 +0530] "GET /VTJDM01_2019/Robot_login.jsp HTTP/1.1" 200 3143
0:0:0:0:0:0:0:1 - - [25/Feb/2022:18:54:08 +0530] "POST /VTJDM01_2019/Robologin_db.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Feb/2022:18:54:08 +0530] "GET /VTJDM01_2019/Robot_home1.jsp HTTP/1.1" 200 6007
0:0:0:0:0:0:0:1 - - [25/Feb/2022:18:54:08 +0530] "GET /VTJDM01_2019/css/w3.css HTTP/1.1" 200 20685
0:0:0:0:0:0:0:1 - - [25/Feb/2022:18:54:26 +0530] "GET /VTJDM01_2019/Searching?admin=no&txt_skills=java&skilltype=Any HTTP/1.1" 200 11094
0:0:0:0:0:0:0:1 - - [25/Feb/2022:18:54:26 +0530] "GET /VTJDM01_2019/img/user.png HTTP/1.1" 200 18050
0:0:0:0:0:0:0:1 - - [25/Feb/2022:18:54:41 +0530] "GET /VTJDM01_2019/profiles.jsp?name=projects%40vertilinktech.com HTTP/1.1" 200 5235
0:0:0:0:0:0:0:1 - - [25/Feb/2022:18:55:14 +0530] "GET /VTJDM01_2019/profiles.jsp?name=shashi%40gmail.com HTTP/1.1" 500 3981
