127.0.0.1 - - [24/Jun/2022:10:24:05 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [24/Jun/2022:10:24:06 +0530] "GET /VTJCC17-M-2021/ HTTP/1.1" 200 5758
0:0:0:0:0:0:0:1 - - [24/Jun/2022:10:24:06 +0530] "GET /VTJCC17-M-2021/css/et-lineicon.css HTTP/1.1" 200 7067
0:0:0:0:0:0:0:1 - - [24/Jun/2022:10:24:06 +0530] "GET /VTJCC17-M-2021/css/bootstrap.min.css HTTP/1.1" 200 117150
0:0:0:0:0:0:0:1 - - [24/Jun/2022:10:24:06 +0530] "GET /VTJCC17-M-2021/css/font-awesome.min.css HTTP/1.1" 200 21984
0:0:0:0:0:0:0:1 - - [24/Jun/2022:10:24:06 +0530] "GET /VTJCC17-M-2021/css/style.css HTTP/1.1" 200 9684
0:0:0:0:0:0:0:1 - - [24/Jun/2022:10:24:06 +0530] "GET /VTJCC17-M-2021/js/animated.js HTTP/1.1" 200 2584
0:0:0:0:0:0:0:1 - - [24/Jun/2022:10:24:06 +0530] "GET /VTJCC17-M-2021/js/jquery.nicescroll.min.js HTTP/1.1" 200 57983
0:0:0:0:0:0:0:1 - - [24/Jun/2022:10:24:06 +0530] "GET /VTJCC17-M-2021/js/jquery.min.js HTTP/1.1" 200 83513
0:0:0:0:0:0:0:1 - - [24/Jun/2022:10:24:06 +0530] "GET /VTJCC17-M-2021/js/jquery.lwtCountdown-1.0.js HTTP/1.1" 200 5024
0:0:0:0:0:0:0:1 - - [24/Jun/2022:10:24:06 +0530] "GET /VTJCC17-M-2021/js/jquery.stellar.min.js HTTP/1.1" 200 12597
0:0:0:0:0:0:0:1 - - [24/Jun/2022:10:24:06 +0530] "GET /VTJCC17-M-2021/js/main.js HTTP/1.1" 200 2692
0:0:0:0:0:0:0:1 - - [24/Jun/2022:10:24:06 +0530] "GET /VTJCC17-M-2021/images/loader.gif HTTP/1.1" 200 12435
0:0:0:0:0:0:0:1 - - [24/Jun/2022:10:24:06 +0530] "GET /VTJCC17-M-2021/images/img-1.jpg HTTP/1.1" 200 57580
0:0:0:0:0:0:0:1 - - [24/Jun/2022:10:24:06 +0530] "GET /VTJCC17-M-2021/images/pattern.png HTTP/1.1" 200 2805
0:0:0:0:0:0:0:1 - - [24/Jun/2022:10:24:08 +0530] "GET /favicon.ico HTTP/1.1" 404 973
